age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
-4.901161920821771,0.0,-4.902238112788482,4.0,0.0,9.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0
-4.959276449497916,1.0,-4.8194958108985215,7.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0
-5.121987513907978,4.0,-4.027122776444632,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.061763375778619,1.0,-4.472582546246569,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
-4.955474132996408,0.0,-4.696161460234074,2.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
-4.837058403962775,0.0,-3.1092015432865496,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
-5.074495077780509,1.0,-4.888945389275003,3.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
-4.81369394402647,3.0,-4.998321459863855,3.0,4.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
-4.929264978002459,5.0,-4.641268222296039,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
-5.052216901212573,3.0,-4.269905345054661,4.0,5.0,7.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
-5.102231169474413,4.0,-3.637947743175147,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.986679734320247,1.0,-1.4403603763609192,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
-4.95033107641098,1.0,-4.855293098781288,3.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-4.964005377440452,5.0,-4.412208493284246,11.0,5.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.968476048118252,1.0,-3.8412782853092686,4.0,6.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
-5.013116138476728,0.0,-4.5303793157894665,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.962632957293193,1.0,-4.78323755775291,4.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
-4.908076628949503,1.0,-3.604448202597574,0.0,0.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
-5.075397629548586,0.0,-4.92601010617558,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0
-5.091311483226637,0.0,-3.9537198206055493,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
-4.924357260960868,1.0,-3.6929885359453367,4.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0
-5.122684486638067,0.0,-3.5301739056551895,3.0,4.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.932934612690323,3.0,-4.773937496580293,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
