n_tokens_title,n_tokens_content,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,is_weekend,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_sentiment_polarity,weekday,data_channel,label
-0.28572003926337597,0.7998112795310348,0.8178316051048412,-0.5881986565482934,-0.09918537751620181,0.0,4.0,-0.08388303568165845,0.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
-0.7976427998613768,0.23017954564966686,0.31376266278189635,-0.1304157303132334,0.12077634511787862,0.0,4.0,0.38794681829582,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
-0.39827484203051766,0.3008209340246506,1.3244904404198723,-0.19796825416942654,-0.12607531930058896,0.0,4.0,0.4655875326568508,0.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.40170540443820596,0.17213802384656646,0.9965672076624447,0.18768571103150633,0.07324451149276714,0.0,4.0,0.04822555220909219,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0
-1.944238614104099,0.24352652632188757,0.13343705154358165,0.019069343372401064,0.22145684929667814,0.0,4.0,0.9105795784374607,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
-1.0493041118115756,-0.2993978757254534,0.3034300749906046,-0.2668331776355657,-0.1574469375584495,0.0,4.0,1.0182300278721748,2.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
-1.5334329484668263,-0.2448440972617957,0.13248931301611916,0.22430508408283367,-0.3817450219572664,0.0,4.0,0.05713381083560386,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
-1.522758301042126,1.2196348410180584,0.17079957626651132,-0.054840724120447895,-0.14130625271105857,0.0,4.0,-0.4451392494098648,1.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
-1.1200930357953818,-0.5672730639553107,-0.1847989383616335,0.09100219579853389,-0.21510510068027308,0.0,4.0,0.8463764352235243,0.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
-0.3337525987982987,0.01938851122886133,-0.0999765516246251,-0.3605538973394176,-0.07173151314857464,0.0,4.0,1.0728704394707975,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
-1.1602869801500717,1.17285830693545,0.13093313220402225,-0.27748122464183633,-0.4463792648885256,0.0,4.0,0.19822374130635237,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
-1.2281507456485647,-0.35562761325662123,0.5386451250199269,0.2766382750670486,-0.13379200219824922,0.0,4.0,0.4249510641459116,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0
-1.4555947054113356,0.5019260993758796,0.3305407368340511,-0.11929214472686492,-0.06280783834226587,0.0,4.0,0.9136741720273333,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0
-0.7834900648631624,-0.5742050078097239,-0.46734671003330586,-0.2832577250368715,-0.4160518382387121,0.0,5.0,0.5069317600450323,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0
-1.5633583244976983,0.49857904456854224,-0.1925056992476962,-0.45568292625527473,-0.3913852688156687,0.0,4.0,0.020290176754666128,1.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.1131492383581938,0.45811270887211286,-0.00028016996353424917,0.024533605048225056,-0.3283479205052293,0.0,4.0,0.8365308718519602,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
-0.6449602006359365,1.2771731335192336,0.3634050756599796,-0.8752153343183667,-0.6073593460643628,2.0,4.0,1.0549916152717551,0.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0
