age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
-0.07603362554735825,1.0,1.6146182902030033,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
-0.2688732228050191,1.0,0.8257312624547031,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.9887028447858739,1.0,0.6929078769895656,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
-0.6534997491247782,2.0,-0.021834489298890553,4.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.45363655566327415,0.0,0.4266856255697718,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.1328162210467378,1.0,0.21085469019311182,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.6197108594123327,1.0,1.8908231054113138,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
-0.46469906748387235,1.0,-0.26662801709642786,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.42918116240643794,1.0,3.095028361682316,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
-1.5451956006639989,1.0,0.18611466018979284,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5389582373260275,4.0,1.3670572857729213,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5211935835053974,1.0,3.0903378282225527,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.3498763972798745,1.0,0.8183879147951725,7.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9507265903228947,1.0,2.116107576574565,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1600133317899153,1.0,-0.5214798420320301,7.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.4903873759117453,1.0,2.488779359106965,9.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.118162073932168,3.0,-0.6170370912950541,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.010534937985653,1.0,0.7807397522604672,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5365910598431834,1.0,-0.8614974277084926,6.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
